MonA,MonB,Eg,HER,T
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Oc1cc(O)c(Br)c(O)c1Br,2.7,2253.5,9.11
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)cc1,2.45,1947.9,3.51
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Cc1cc(Br)cc(Br)c1,2.71,3363.4,10.05
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Cc1cc(Br)ccc1Br,2.63,2657.8,28.67
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CCc1cc(Br)ccc1Br,2.69,651.5,52.04
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Cc1cc(Br)c(C)cc1Br,2.77,1243.8,9.01
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,BrCc1ccc(CBr)cc1,2.55,593.1,41.65
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)c2ccccc12,2.43,613.1,42.3
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccc1cc(Br)ccc1c2,2.56,8742.2,3.63
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2cc(Br)cc(c1ccccc1)c2,2.53,620.3,85.95
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccc(c1ccc(Br)cc1)cc2,2.59,2294.8,4.74
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccc(c1ccccc1)c(Br)c2,ND,1011.7,77.72
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccccc1c2ccccc2Br,2.65,3571.4,0
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc3ccc(c2ccc(c1ccc(Br)cc1)cc2)cc3,2.62,4155.4,5.63
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc3ccc(C(c1ccccc1)c2ccc(Br)cc2)cc3,2.25,527.3,59.26
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2c1ccccc1c(Br)c3ccccc23,2.52,4953.8,7.86
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc5c1ccccc1c(c3c2ccccc2c(Br)c4ccccc34)c6ccccc56,2.51,4413,9.45
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc4ccc3c1ccc(Br)cc1c2ccccc2c3c4,2.52,5630.5,5.12
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc3ccc4c2C(=CCc1c23)C=CC4Br,2.38,1985.6,7.5
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CC(C)(C)c1cc2ccc3c(Br)cc(Br)c4ccc(c1)c2c34,2.29,1231.8,0
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,N#Cc1cc(Br)ccc1Br,2.56,1053.4,3.46
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1ccc(Br)cc1Br,2.01,20.5,78.29
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1cc(Br)ccc1Br,2.3,806.3,7.73
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1c(N)c(Br)ccc1Br,2.96,0,63.01
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc4ccc3c1ccc(Br)cc1n(c2ccccc2)c3c4,2.31,9772.2,2.68
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=Cc1cc(Br)ccc1Br,2.67,1771.8,1.13
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=Cc1cc(Br)cc(Br)c1,2.61,1581.8,10.08
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Oc1ccc(Br)cc1Br,2.38,0,73.89
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Oc1cc(Br)c(O)cc1Br,1.79,0,25.85
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=C(O)c1cc(O)c(Br)cc1Br,2.41,2709.8,15.92
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=C(O)c1cc(Br)cc(Br)c1,2.74,139.2,85.97
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=C(O)c1cc(Br)c(C(=O)O)cc1Br,2.56,2191,10.97
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=C(O)Cc1c(Br)cccc1Br,2.32,786.1,85.44
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=c1cc(Br)c(=O)cc1Br,2.85,0,50.53
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=c2c1ccc(Br)cc1c(=O)c3ccc(Br)cc23,2.34,0,21.03
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=c2c(=O)c1cc(Br)ccc1c3ccc(Br)cc23,1.85,0,3.21
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=C2C3=C(C=C1Br)C(=O)C(=O)C4=C3C(=CC(=C4)Br)C(=O)C2=O,ND,29.7,85.81
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Oc2ccc1cc(Br)ccc1c2c3c(O)ccc4cc(Br)ccc34,2.79,0,79.92
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=C(c1ccc(Br)cc1)c2ccc(Br)cc2,2.75,4461.9,13.52
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,COC(=O)c1cc(Br)oc1Br,2.49,1051.2,24.79
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccc(OCC1CCCCO1)c(Br)c2,2.44,987.4,76.89
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,COc1cc(Br)c(OC)cc1Br,2.5,1474.2,24.02
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)c2nsnc12,2.24,994.5,4.43
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc2cc(Br)c1nsnc1c2Br,2.32,60.3,21.59
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc2c(F)c(Br)c1nsnc1c2Br,2.36,100.4,27.17
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cnc(Br)c2nsnc12,2.14,0,2.95
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)c2nonc12,2,45.9,1.03
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2c1nsnc1c(Br)c3[nH]s[nH]c23,2.53,371.3,14.62
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc1c(Br)cccc1Br,2.71,1929.9,7.1
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc1cc(Br)ccc1Br,2.65,7648.8,9.85
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc1c(F)c(Br)ccc1Br,2.69,5248,5.94
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc1cc(Br)c(F)cc1Br,2.7,3500.5,12.08
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc1c(F)c(Br)c(F)c(F)c1Br,2.81,3533.8,9.6
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Fc2c(F)c(c1c(F)c(F)c(Br)c(F)c1F)c(F)c(F)c2Br,2.77,3157.2,5.67
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,FC(F)(F)c1cc(Br)ccc1Br,2.72,3581.2,63.72
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cc(I)c(Br)cc1I,2.77,1327.1,48.5
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cccc(Br)n1,2.65,3968.9,9.34
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cncc(Br)c1,2.7,2245.8,17.66
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=n1cc(Br)ccc1Br,2.33,1535.7,1.67
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Oc1c(Br)cncc1Br,2.4,6232,35.62
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Oc1cc(Br)nc(Br)c1,2.63,346.9,86.63
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1c(Br)cnc(Cl)c1Br,2.45,6038.3,8.33
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cnc(Br)cn1,2.49,265.5,8.7
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cnc(Br)nc1,2.47,813.2,7.57
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1nc(Br)cnc1Br,1.86,314.5,87.05
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CN1C=C(Br)N=C(C1=O)Br,2.28,242.9,0.42
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)c2nccnc12,2.43,23.5,8.95
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC2=CC(=CN=C2C3=C1C=C(C=N3)Br)Br,2.52,0,88.54
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccc(c1ccc(Br)cn1)nc2,2.65,380.7,36.18
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2cccc(c1cccc(Br)n1)n2,2.53,578.4,16.26
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccnc(c1cc(Br)ccn1)c2,2.7,82.5,2.89
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,N#CC(C#N)=c2c1cc(Br)ccc1c3ccc(Br)cc23,1.95,0,19.83
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc3c(c1)Cc2cc(Br)ccc23,2.46,8390.1,3.88
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc3c(c1)[nH]c2cc(Br)ccc23,2.45,5288.4,2.8
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc3ccc2[nH]c1ccc(Br)cc1c2c3,2.17,83.6,57.35
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc3c(c1)sc2cc(Br)ccc23,2.55,8461.6,5.1
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=S3(=O)c1cc(Br)ccc1c2ccc(Br)cc23,2.51,3443.2,0.79
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=S3(=O)c1ccc(Br)cc1c2cc(Br)ccc23,2.71,1835.6,0.49
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CCn3c1ccc(Br)cc1c2cc(Br)ccc23,2.13,349.5,76.76
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=c2c1cc(Br)ccc1c3ccc(Br)cc23,2.14,1854.1,15.55
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1cscc1Br,2.41,672.1,23.7
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)s1,2.14,2090.6,8.58
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc1ccc(Br)o1,2.15,2691,66.95
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=S1(=O)C(Br)=CC=C1Br,3.06,152.7,53.78
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc2ccc(c1ccc(Br)s1)s2,1.99,669.2,5.54
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Brc3ccc(c2ccc(c1ccc(Br)s1)s2)s3,1.94,164,4.24
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=C2C(=CC3=C1C=C(Br)S3)C=C(Br)S2,2.18,2390.4,3.64
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=N(=O)c1cc(Br)ccc1Br,2.58,0,1.44
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,N#Cc1cc(Br)cc(Br)c1O,2.51,153.1,68.84
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,Nc1cc(Br)c(F)cc1Br,2.33,1459.4,7.94
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,COC(=O)C1=C(C=C(C(=N1)N)Br)Br,ND,52.6,80.65
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=C2CC(=O)NC2=C(C=C1Br)Br,2.32,2327.7,2.42
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC(=C(C=C1Br)Br)OCC(=O)NN,2.65,277.7,86.26
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CC(Oc1ccc(Br)cc1Br)C(=O)NN,2.75,215.7,75.92
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,NNC(=O)c1cc(Br)c(O)c(Br)c1,2.6,0,82.23
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,COc1c(Br)cc(C(=N)NO)cc1Br,2.52,217.6,83.83
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,CCn2c(=O)c(=O)c1cc(Br)cc(Br)c12,1.61,88.4,86.57
O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,O=c2[nH]c1c(Br)cc(Br)cc1c2=O,ND,0,83.12
,,,,
