MonA,MonB,MonA_sm,MonB_sm,Eg,HER
1,23,O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC=C2C(=C1)C3=CC(=CC=C3C4=CC=C(C=C24)Br)Br,2.52,5630.5
1,3,O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=C(C=CC(=C1)Br)Br,2.45,1947.9
1,89,O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC2=C(CC3=CC(=CC=C32)Br)C=C1Br,2.46,8390.1
1,90,O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC2=C(C=C1Br)NC3=CC(=CC=C23)Br,2.45,5288.4
1,92,O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC2=C(C=C1Br)SC3=CC(=CC=C23)Br,2.55,8461.6
1,93,O=S1(=O)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC2=C(C=C1Br)S(=O)(=O)C3=CC(=CC=C23)Br,2.51,3443.2
2,23,OB(O)c1ccc(-c2ccc(B(O)O)s2)s1,C1=CC=C2C(=C1)C3=CC(=CC=C3C4=CC=C(C=C24)Br)Br,2.16,269.7
2,3,OB(O)c1ccc(-c2ccc(B(O)O)s2)s1,C1=C(C=CC(=C1)Br)Br,2.12,194.6
2,89,OB(O)c1ccc(-c2ccc(B(O)O)s2)s1,C1=CC2=C(CC3=CC(=CC=C32)Br)C=C1Br,2.19,379.3
2,90,OB(O)c1ccc(-c2ccc(B(O)O)s2)s1,C1=CC2=C(C=C1Br)NC3=CC(=CC=C23)Br,2.15,208.3
2,92,OB(O)c1ccc(-c2ccc(B(O)O)s2)s1,C1=CC2=C(C=C1Br)SC3=CC(=CC=C23)Br,2.22,352.4
2,93,OB(O)c1ccc(-c2ccc(B(O)O)s2)s1,C1=CC2=C(C=C1Br)S(=O)(=O)C3=CC(=CC=C23)Br,2.02,1049.9
3,23,OB(O)c1cc2cc3sc(B(O)O)cc3cc2s1,C1=CC=C2C(=C1)C3=CC(=CC=C3C4=CC=C(C=C24)Br)Br,2.36,2546
3,3,OB(O)c1cc2cc3sc(B(O)O)cc3cc2s1,C1=C(C=CC(=C1)Br)Br,2.31,536.9
3,89,OB(O)c1cc2cc3sc(B(O)O)cc3cc2s1,C1=CC2=C(CC3=CC(=CC=C32)Br)C=C1Br,2.38,985.4
3,90,OB(O)c1cc2cc3sc(B(O)O)cc3cc2s1,C1=CC2=C(C=C1Br)NC3=CC(=CC=C23)Br,2.31,876.6
3,92,OB(O)c1cc2cc3sc(B(O)O)cc3cc2s1,C1=CC2=C(C=C1Br)SC3=CC(=CC=C23)Br,2.38,1168.3
3,93,OB(O)c1cc2cc3sc(B(O)O)cc3cc2s1,C1=CC2=C(C=C1Br)S(=O)(=O)C3=CC(=CC=C23)Br,2.17,308.4
4,23,OB(O)c1ccc(B(O)O)c2nsnc12,C1=CC=C2C(=C1)C3=CC(=CC=C3C4=CC=C(C=C24)Br)Br,2.01,138.5
4,3,OB(O)c1ccc(B(O)O)c2nsnc12,C1=C(C=CC(=C1)Br)Br,2.18,1045
4,89,OB(O)c1ccc(B(O)O)c2nsnc12,C1=CC2=C(CC3=CC(=CC=C32)Br)C=C1Br,2.11,457.2
4,90,OB(O)c1ccc(B(O)O)c2nsnc12,C1=CC2=C(C=C1Br)NC3=CC(=CC=C23)Br,2.04,36.8
4,92,OB(O)c1ccc(B(O)O)c2nsnc12,C1=CC2=C(C=C1Br)SC3=CC(=CC=C23)Br,2.14,885.5
4,93,OB(O)c1ccc(B(O)O)c2nsnc12,C1=CC2=C(C=C1Br)S(=O)(=O)C3=CC(=CC=C23)Br,2.19,326.3
5,23,OB(O)c1cc2ccc3cc(B(O)O)cc4ccc(c1)c2c34,C1=CC=C2C(=C1)C3=CC(=CC=C3C4=CC=C(C=C24)Br)Br,2.6,99.3
5,89,OB(O)c1cc2ccc3cc(B(O)O)cc4ccc(c1)c2c34,C1=CC2=C(CC3=CC(=CC=C32)Br)C=C1Br,2.64,755.4
5,90,OB(O)c1cc2ccc3cc(B(O)O)cc4ccc(c1)c2c34,C1=CC2=C(C=C1Br)NC3=CC(=CC=C23)Br,2.59,1041.3
5,92,OB(O)c1cc2ccc3cc(B(O)O)cc4ccc(c1)c2c34,C1=CC2=C(C=C1Br)SC3=CC(=CC=C23)Br,2.61,201.4
5,93,OB(O)c1cc2ccc3cc(B(O)O)cc4ccc(c1)c2c34,C1=CC2=C(C=C1Br)S(=O)(=O)C3=CC(=CC=C23)Br,2.54,7211.1
6,23,CC1(C)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC=C2C(=C1)C3=CC(=CC=C3C4=CC=C(C=C24)Br)Br,2.76,52.6
6,92,CC1(C)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC2=C(C=C1Br)SC3=CC(=CC=C23)Br,2.65,592.5
6,93,CC1(C)c2cc(B(O)O)ccc2-c2ccc(B(O)O)cc21,C1=CC2=C(C=C1Br)S(=O)(=O)C3=CC(=CC=C23)Br,2.46,782.9
7,23,OB(O)c1ccc(B(O)O)cc1,C1=CC=C2C(=C1)C3=CC(=CC=C3C4=CC=C(C=C24)Br)Br,2.67,417.1
7,89,OB(O)c1ccc(B(O)O)cc1,C1=CC2=C(CC3=CC(=CC=C32)Br)C=C1Br,2.66,518.2
7,93,OB(O)c1ccc(B(O)O)cc1,C1=CC2=C(C=C1Br)S(=O)(=O)C3=CC(=CC=C23)Br,2.49,1061.9
8,23,OB(O)c1cc(F)c(B(O)O)cc1F,C1=CC=C2C(=C1)C3=CC(=CC=C3C4=CC=C(C=C24)Br)Br,2.82,2502
8,3,OB(O)c1cc(F)c(B(O)O)cc1F,C1=C(C=CC(=C1)Br)Br,2.87,2504.9
8,89,OB(O)c1cc(F)c(B(O)O)cc1F,C1=CC2=C(CC3=CC(=CC=C32)Br)C=C1Br,2.74,928.8
8,90,OB(O)c1cc(F)c(B(O)O)cc1F,C1=CC2=C(C=C1Br)NC3=CC(=CC=C23)Br,2.72,3996.3
8,92,OB(O)c1cc(F)c(B(O)O)cc1F,C1=CC2=C(C=C1Br)SC3=CC(=CC=C23)Br,2.76,9828.6
8,93,OB(O)c1cc(F)c(B(O)O)cc1F,C1=CC2=C(C=C1Br)S(=O)(=O)C3=CC(=CC=C23)Br,2.69,8763.1
9,23,C1=CC=C(C=C1)N2C3=C(C=CC(=C3)B(O)O)C4=CC=C(C=C42)B(O)O,C1=CC=C2C(=C1)C3=CC(=CC=C3C4=CC=C(C=C24)Br)Br,2.78,59.6
9,93,C1=CC=C(C=C1)N2C3=C(C=CC(=C3)B(O)O)C4=CC=C(C=C42)B(O)O,C1=CC2=C(C=C1Br)S(=O)(=O)C3=CC(=CC=C23)Br,2.37,2951.3
